,Y
569,16220.2
570,16721.46
571,16408.7
572,16626.97
573,16174.22
574,16990.0
575,16499.0
576,15934.46
577,14870.0
578,15948.6
579,14465.85
580,15646.3
581,14621.56
582,15680.08
583,14901.99
584,15862.9
585,14870.02
586,15824.99
587,15025.01
588,15900.03
589,15120.0
590,15513.8
591,14990.0
592,15217.99
593,14948.26
594,15384.22
595,14735.01
596,15514.73
597,14993.74
598,15970.68
599,15432.88
600,15268.99
601,14231.0
602,15239.91
603,14575.0
604,15263.6
605,14699.01
606,15328.99
607,14969.99
608,15085.49
609,14993.0
610,14998.0
611,14848.53
612,15147.35
613,14742.91
614,15171.77
615,14784.46
616,14910.01
617,14587.41
618,14650.01
619,14445.0
620,14808.99
621,14480.99
622,15260.0
623,14810.99
624,14200.01
625,13883.82
626,14311.0
627,13800.01
628,14163.01
629,14406.97
630,14374.28
631,14525.0
632,14227.0
633,14559.58
634,14296.76
635,14495.52
636,14164.19
637,14349.01
638,13565.8
639,14453.47
640,13907.79
641,14473.99
642,13918.68
643,14489.98
644,14130.01
645,14875.18
646,14149.41
647,13944.11
648,14500.01
649,13715.01
650,14249.99
651,13936.92
652,13302.0
653,13995.0
654,13369.87
655,13895.01
656,13193.72
657,13700.0
658,13407.95
659,13750.01
660,13644.98
661,13401.23
662,13800.99
663,13465.91
664,13565.66
665,13470.71
666,13319.28
667,13120.13
668,13499.6
669,13308.06
670,14659.01
671,13804.01
672,13434.26
673,13869.98
674,13479.99
675,13916.51
676,13645.0
677,13612.47
678,13699.99
679,13579.02
680,13618.0
681,13595.0
682,13709.99
683,13500.01
684,13631.36
685,13767.94
686,13605.01
687,13902.95
688,13506.91
689,13730.02
690,13943.94
691,13655.46
692,13960.1
693,13820.0
694,13130.0
695,14049.99
696,14188.0
697,14436.61
698,14160.01
699,14369.01
700,14158.22
701,14247.13
702,14140.0
703,14309.68
704,14210.65
705,14299.98
706,14199.16
707,14250.01
708,14367.5
709,14076.63
710,14241.01
711,14178.01
712,14180.0
713,14165.0
714,14206.0
715,14316.0
716,14220.02
717,14187.95
718,14164.6
719,14317.0
720,14300.0
721,13622.2
722,14208.26
723,13559.01
724,14203.91
725,13286.02
726,13862.13
727,13389.01
728,13800.0
729,13535.87
730,13834.25
731,13570.35
732,13770.01
733,13406.8
734,13680.01
735,13522.74
736,13592.96
737,13423.01
738,13561.03
739,13599.97
740,13553.45
741,13656.23
742,14262.66
743,13380.01
744,13626.22
745,14141.0
746,13533.9
747,14117.35
748,13501.48
749,14047.99
750,13620.01
751,14118.9
752,13600.0
753,13879.1
754,13726.0
755,13917.36
756,13642.56
757,13899.99
758,13597.03
759,13725.0
760,13662.22
761,13909.96
762,13750.89
763,13814.01
764,13759.91
765,13590.0
766,13730.0
767,14122.22
768,13108.02
769,11554.83
770,13221.78
771,12030.0
772,12948.41
773,12378.54
774,13024.99
775,12074.7
776,13149.9
777,11415.85
778,13173.11
779,11522.24
780,12605.23
781,11550.0
782,12299.99
783,11111.0
784,11543.36
785,10720.0
786,11898.0
787,11250.0
788,12441.52
789,11570.01
790,13250.0
791,12177.36
792,11334.01
793,10040.0
794,11055.27
795,9386.59
796,11018.94
797,9488.54
798,11140.14
799,10397.99
800,11148.07
801,10120.68
802,11250.0
803,9820.75
804,11231.0
805,10494.54
806,10971.0
807,10919.24
808,10625.98
809,11358.0
810,10109.39
811,11200.01
812,10206.3
813,11200.01
814,11155.98
815,10400.0
816,11537.0
817,11699.69
818,11777.99
819,11933.0
820,11370.01
821,12013.87
822,11145.01
823,11736.01
824,11045.99
825,11553.32
826,11182.01
827,11810.0
828,10737.99
829,11801.0
830,10885.93
831,11820.25
832,11242.06
833,11579.0
834,11322.89
835,11332.89
836,11584.62
837,11305.53
838,11300.0
839,11717.43
840,11498.0
841,11731.0
842,11125.0
843,11499.75
844,11183.81
845,11551.0
846,11389.0
847,11640.45
848,11399.99
849,11272.49
850,11550.0
851,11234.69
852,11419.86
853,11258.72
854,11727.46
855,11395.0
856,11679.0
857,11340.01
858,11848.96
859,11269.0
860,11760.02
861,11498.99
862,11542.52
863,11845.24
864,11690.0
865,12462.02
866,11688.0
867,12582.01
868,11731.46
869,12542.25
870,12198.01
871,12840.52
872,12580.01
873,12818.99
874,12410.0
875,12950.89
876,12535.24
877,12755.6
878,12690.38
879,12764.97
880,12480.38
881,12895.0
882,12550.0
883,12825.0
884,12301.02
885,12762.8
886,11553.85
887,12469.99
888,12498.0
889,12010.01
890,12551.93
891,11767.08
892,12500.0
893,11550.93
894,12234.74
895,11300.35
896,12106.21
897,11437.0
898,12004.99
899,11500.0
900,11937.03
901,11488.09
902,11900.0
903,11150.02
904,11736.72
905,11366.07
906,11795.43
907,11220.01
908,12147.21
909,11518.16
910,12360.0
911,12005.01
912,11444.27
913,10596.5
914,11550.18
915,10635.0
916,11498.8
917,10408.92
918,11583.5
919,10507.72
920,11455.0
921,10581.62
922,11615.74
923,10453.0
924,11720.0
925,10590.0
926,11712.39
927,10395.23
928,11710.01
929,10381.19
930,11684.77
931,10654.3
932,11306.01
933,10766.7
934,11698.88
935,11308.23
936,10672.5
937,10290.0
938,10772.98
939,10417.07
940,10840.23
941,10734.36
942,10589.99
943,11337.43
944,10413.13
945,11150.0
946,10310.22
947,11194.72
948,10289.99
949,10950.0
950,10677.26
951,11100.98
952,10471.34
953,10981.04
954,10330.8
955,11047.01
956,10176.6
957,10824.94
958,10790.0
959,10205.01
960,10606.6
961,11288.08
962,10750.0
963,11261.3
964,10820.01
965,11043.01
966,10664.58
967,11033.0
968,10630.01
969,11070.01
970,10933.62
971,11000.0
972,10920.33
973,11173.95
974,10843.09
975,11125.0
976,11050.0
977,11180.51
978,10967.19
979,11100.0
980,10999.0
981,11356.79
982,10594.01
983,11279.97
984,11432.88
985,11216.99
986,11515.0
987,11168.0
988,11610.0
989,10924.9
990,11415.01
991,10885.56
992,11487.28
993,10979.55
994,11427.47
995,11227.31
996,11360.01
997,11199.99
998,11256.01
999,11250.0
1000,11250.02
1001,11199.99
1002,11254.99
1003,11160.02
1004,11144.82
1005,11118.0
1006,11274.23
1007,11050.01
1008,11269.99
1009,10550.0
1010,11539.99
1011,10811.25
1012,11489.99
1013,11048.43
1014,11425.28
1015,11091.0
1016,11287.8
1017,11136.98
1018,11345.05
1019,11024.36
1020,11051.41
1021,10934.08
1022,10724.13
1023,10965.01
1024,10521.01
1025,10881.33
1026,10553.93
1027,10795.01
1028,10535.89
1029,11086.89
1030,11324.4
1031,10660.01
1032,10955.55
1033,11019.5
1034,11079.41
1035,10982.96
1036,10980.01
1037,11442.02
1038,11000.0
1039,11485.56
1040,11198.39
1041,11356.0
1042,11222.77
1043,11355.0
1044,11150.0
1045,11396.41
1046,11114.57
1047,11422.35
1048,11189.48
1049,11440.0
1050,11156.28
1051,11361.24
1052,10932.13
1053,11319.0
1054,11057.0
1055,10928.01
1056,11330.0
1057,11330.47
1058,11296.0
1059,11350.01
1060,11328.04
1061,11355.0
1062,11474.62
1063,11425.98
1064,11531.01
1065,11419.01
1066,11694.96
1067,11400.01
1068,11527.04
1069,11417.49
1070,11538.18
1071,11447.0
1072,11499.99
1073,11559.99
1074,11357.4
1075,11495.0
1076,11499.99
1077,11536.0
1078,11322.52
1079,11268.0
1080,11311.99
1081,11025.0
1082,11286.06
1083,11055.86
1084,11279.99
1085,11070.13
1086,11269.0
1087,11087.57
1088,11240.01
1089,11153.89
1090,11095.0
1091,11177.0
1092,11020.0
1093,11094.62
1094,11046.24
1095,11136.99
1096,11055.0
1097,11178.65
1098,11085.02
1099,11041.52
1100,10942.74
1101,11123.01
1102,11510.02
1103,10890.95
1104,10900.01
1105,10445.0
1106,10924.7
1107,10519.99
1108,10901.01
1109,10290.01
1110,10943.65
1111,10360.0
1112,10940.01
1113,10150.01
1114,10918.82
1115,9959.11
1116,10985.8
1117,10185.8
1118,10981.9
1119,9974.97
1120,10850.05
1121,10076.98
1122,10875.01
1123,10111.6
1124,10925.0
1125,9995.0
1126,11127.96
1127,10880.0
1128,9776.35
1129,10030.19
1130,10007.28
1131,9899.0
1132,9894.72
1133,9937.99
1134,9829.53
1135,9942.17
1136,9870.49
1137,9952.0
1138,9990.0
1139,9969.12
1140,10146.99
1141,9978.4
1142,10099.54
1143,10016.5
1144,10057.2
1145,9954.62
1146,10120.26
1147,10026.28
1148,10212.01
1149,10099.99
1150,9704.47
1151,10274.01
1152,10070.0
1153,9178.48
1154,10085.01
1155,9329.01
1156,9913.0
1157,9220.0
1158,10049.98
1159,8939.01
1160,10049.98
1161,8982.99
1162,10049.98
1163,8969.0
1164,10049.98
1165,8725.0
1166,9851.47
1167,9100.0
1168,9565.01
1169,9065.55
1170,9404.95
1171,8939.98
1172,9481.28
1173,9010.61
1174,10096.02
1175,9340.1
1176,8620.99
1177,8808.83
1178,8844.0
1179,8615.0
1180,8671.0
1181,8967.91
1182,8637.87
1183,9080.0
1184,8527.02
1185,8661.81
1186,8542.06
1187,8518.3
1188,8386.63
1189,8561.79
1190,8270.01
1191,8547.31
1192,8323.05
1193,8569.99
1194,8132.0
1195,8740.0
1196,7960.99
1197,8787.52
1198,8683.31
1199,8252.98
1200,8599.98
1201,9239.18
1202,8525.01
1203,9370.5
1204,8246.1
1205,9215.0
1206,8380.01
1207,9333.99
1208,8420.22
1209,9203.78
1210,8612.04
1211,9425.0
1212,8630.19
1213,9330.0
1214,8876.75
1215,9285.01
1216,8846.33
1217,9166.01
1218,8765.37
1219,9109.47
1220,9000.0
1221,9240.0
1222,8749.0
1223,9040.02
1224,8924.25
1225,8722.67
1226,9049.99
1227,8645.08
1228,9185.0
1229,8385.79
1230,9084.54
1231,8488.0
1232,9277.74
1233,8455.0
1234,9242.97
1235,8341.0
1236,9176.2
1237,8183.39
1238,9071.0
1239,8117.88
1240,8842.99
1241,8064.99
1242,8798.58
1243,8414.18
1244,8720.0
1245,8167.9
1246,9083.99
1247,8774.99
1248,8085.0
1249,7655.03
1250,8031.79
1251,7325.09
1252,8133.0
1253,7339.76
1254,8273.0
1255,7265.42
1256,8197.45
1257,7000.99
1258,8061.14
1259,6858.11
1260,7986.78
1261,6530.75
1262,7800.01
1263,7137.55
1264,7884.01
1265,7078.35
1266,7681.95
1267,6801.01
1268,7560.0
1269,6905.19
1270,8210.74
1271,7700.0
1272,6483.82
1273,7159.17
1274,6364.99
1275,7185.0
1276,6316.09
1277,7295.0
1278,6012.88
1279,7099.99
1280,6389.09
1281,6989.43
1282,6185.0
1283,7177.01
1284,5918.0
1285,7539.18
1286,6049.98
1287,7518.54
1288,6630.02
1289,7790.01
1290,6430.0
1291,7633.67
1292,6465.0
1293,7688.46
1294,6975.0
1295,6675.01
1296,7637.99
1297,8299.99
1298,7347.24
1299,8271.62
1300,7265.01
1301,8227.0
1302,7491.0
1303,8015.09
1304,7455.0
1305,8335.09
1306,7491.0
1307,8265.0
1308,7711.32
1309,8189.37
1310,7668.8
1311,8165.0
1312,7976.66
1313,8095.0
1314,8220.01
1315,7850.01
1316,8261.29
1317,7575.75
1318,7600.0
1319,8370.0
1320,7868.0
1321,8451.5
1322,8030.01
1323,8420.0
1324,7980.07
1325,8225.0
1326,8138.1
1327,8280.0
1328,7971.23
1329,8179.5
1330,8004.49
1331,8209.49
1332,8307.01
1333,8385.55
1334,8236.4
1335,8286.17
1336,8329.0
1337,8160.0
1338,8550.0
1339,8179.0
1340,8480.02
1341,8218.1
1342,7709.51
1343,8589.99
1344,7975.32
1345,8246.82
1346,8108.18
1347,8386.41
1348,8078.59
1349,8312.17
1350,7843.26
1351,8357.84
1352,7875.01
1353,8602.02
1354,7959.99
1355,8599.99
1356,8015.0
1357,8615.04
1358,8070.0
1359,8544.99
1360,8239.0
1361,8553.0
1362,8235.43
1363,8567.99
1364,8249.99
1365,8671.01
1366,7920.62
1367,8199.99
1368,8797.0
1369,8770.6
1370,8919.99
1371,8627.71
1372,8918.65
1373,8369.0
1374,8808.69
1375,8315.02
1376,8860.07
1377,8464.02
1378,9046.19
1379,8333.0
1380,8958.01
1381,8447.17
1382,8680.01
1383,8200.0
1384,8640.7
1385,8287.9
1386,8560.99
1387,8560.01
1388,8665.0
1389,8547.49
1390,8884.0
1391,8655.87
1392,8276.73
1393,8285.0
1394,8270.5
1395,8423.12
1396,8070.28
1397,8417.17
1398,8001.01
1399,8337.42
1400,8112.16
1401,8193.03
1402,8082.5
1403,8342.36
1404,7937.0
1405,8287.0
1406,7927.41
1407,8231.02
1408,8130.0
1409,8315.01
1410,8016.79
1411,8300.02
1412,8184.99
1413,8072.99
1414,8420.0
1415,8279.17
1416,8339.17
1417,8675.03
1418,8537.39
1419,8558.5
1420,8469.0
1421,8649.01
1422,8490.0
1423,8669.35
1424,8362.7
1425,8760.0
1426,8410.0
1427,8662.23
1428,8457.01
1429,8779.99
1430,8754.5
1431,8837.45
1432,8788.41
1433,8819.1
1434,8818.22
1435,8880.0
1436,8655.79
1437,8872.28
1438,8197.28
1439,8772.44
1440,8749.99
1441,8590.0
1442,8716.5
1443,8612.31
1444,8773.64
1445,8507.12
1446,8590.0
1447,8560.0
1448,8616.98
1449,8623.63
1450,8717.68
1451,8590.01
1452,8634.99
1453,8613.86
1454,8544.96
1455,8709.99
1456,8460.0
1457,8568.0
1458,8519.01
1459,8548.62
1460,8531.0
1461,8520.01
1462,8913.0
1463,8590.01
1464,8641.64
1465,9236.01
1466,8690.01
1467,9170.01
1468,8679.98
1469,9350.0
1470,8797.21
1471,9290.0
1472,8823.53
1473,9312.99
1474,8790.0
1475,9299.97
1476,8878.02
1477,9252.73
1478,8862.1
1479,9276.5
1480,8800.0
1481,9295.84
1482,8760.99
1483,9430.01
1484,8931.4
1485,9472.98
1486,8585.0
1487,9185.01
1488,9390.0
1489,9671.99
1490,9620.01
1491,9874.0
1492,9670.0
1493,9860.19
1494,9745.62
1495,9919.99
1496,9700.0
1497,10098.99
1498,9707.08
1499,10070.0
1500,9837.72
1501,10124.4
1502,9879.71
1503,10095.9
1504,9656.0
1505,9860.8
1506,9665.38
1507,10094.9
1508,9615.01
1509,10031.23
1510,9368.83
1511,9730.0
1512,10307.67
1513,9850.06
1514,10187.01
1515,10038.5
1516,10111.64
1517,10046.13
1518,10003.35
1519,10087.75
1520,10099.9
1521,10085.7
1522,9900.0
1523,9967.01
1524,9763.0
1525,10044.0
1526,9940.0
1527,9991.08
1528,9880.0
1529,10083.01
1530,9816.89
1531,10191.01
1532,9819.89
1533,10167.49
1534,10221.0
1535,9880.0
1536,10328.07
1537,10734.14
1538,10374.99
1539,10658.0
1540,10459.01
1541,10744.94
1542,10577.0
1543,10837.96
1544,10555.42
1545,10822.16
1546,10773.97
1547,10814.29
1548,10739.99
1549,10745.94
1550,10825.0
1551,10799.99
1552,10690.93
1553,10850.81
1554,10676.99
1555,10964.99
1556,10746.01
1557,11121.5
1558,10164.99
1559,10841.61
1560,11238.0
1561,10776.66
1562,11160.0
1563,10794.0
1564,10886.77
1565,10691.99
1566,10984.98
1567,10599.98
1568,10483.99
1569,10750.0
1570,10471.01
1571,10744.99
1572,10630.0
1573,10835.0
1574,10382.99
1575,10789.99
1576,10172.67
1577,10770.01
1578,10536.41
1579,10594.45
1580,10627.99
1581,10380.04
1582,11145.99
1583,10607.14
1584,10624.99
1585,10944.99
1586,10590.32
1587,10950.0
1588,10533.3
1589,11170.0
1590,10524.99
1591,11089.98
1592,10471.0
1593,10956.66
1594,10480.0
1595,11072.04
1596,10816.0
1597,11147.88
1598,10792.76
1599,11216.0
1600,10923.89
1601,11077.61
1602,10910.01
1603,11088.92
1604,10944.98
1605,11140.0
1606,10433.12
1607,10890.0
1608,11475.0
1609,11550.51
1610,11378.21
1611,11510.04
1612,11404.0
1613,11514.99
1614,11451.34
1615,11593.86
1616,11437.04
1617,11686.06
1618,11567.32
1619,11669.0
1620,11536.0
1621,11677.0
1622,11367.39
1623,11770.0
1624,11350.0
1625,11711.77
1626,11398.0
1627,11376.07
1628,11418.39
1629,11235.57
1630,11397.0
1631,11435.0
1632,11115.0
1633,10735.01
1634,11056.95
1635,10650.0
1636,10922.99
1637,10588.0
1638,10749.15
1639,10469.0
1640,10824.54
1641,10548.69
1642,11075.19
1643,10537.01
1644,11126.97
1645,10419.97
1646,11039.07
1647,10395.0
1648,11176.13
1649,10282.6
1650,10969.99
1651,10455.0
1652,10958.01
1653,10454.27
1654,11085.0
1655,11049.0
1656,10637.32
1657,9898.96
1658,10738.99
1659,9915.0
1660,10728.09
1661,10020.01
1662,10728.25
1663,9940.06
1664,10793.0
1665,9850.0
1666,10861.31
1667,9900.03
1668,10627.24
1669,10046.0
1670,10467.66
1671,10078.99
1672,10357.79
1673,9915.0
1674,10160.0
1675,9958.71
1676,10265.0
1677,9830.0
1678,10488.99
1679,9946.92
1680,9728.01
1681,10190.0
1682,9720.99
1683,10307.98
1684,9792.09
1685,10338.95
1686,9826.99
1687,10083.18
1688,9828.27
1689,10105.18
1690,9815.03
1691,10209.69
1692,9874.99
1693,10033.8
1694,9915.0
1695,9975.0
1696,10108.42
1697,9920.0
1698,10010.01
1699,10138.56
1700,10194.2
1701,10144.99
1702,9672.82
1703,10189.17
1704,10333.8
1705,9682.51
1706,10425.0
1707,9782.12
1708,10396.01
1709,9755.7
1710,10393.0
1711,9800.0
1712,10445.26
1713,9660.0
1714,10184.82
1715,9581.77
1716,10122.75
1717,9594.0
1718,10032.15
1719,9403.99
1720,10053.11
1721,9505.31
1722,9762.99
1723,9618.42
1724,9804.33
1725,9688.62
1726,10316.99
1727,9865.01
1728,9760.0
1729,9507.44
1730,9625.11
1731,9402.0
1732,9576.52
1733,9415.6
1734,9714.46
1735,9419.99
1736,9722.0
1737,9381.94
1738,9782.95
1739,9456.29
1740,9743.02
1741,9485.01
1742,9620.13
1743,9590.01
1744,9596.51
1745,9591.15
1746,9654.21
1747,9661.0
1748,9659.41
1749,9597.99
1750,9637.01
1751,9525.0
1752,9726.34
1753,10124.98
1754,9740.0
1755,10200.0
1756,9633.03
1757,10221.0
1758,9678.1
1759,10179.78
1760,9622.26
1761,10189.72
1762,9430.75
1763,10225.0
1764,9497.94
1765,10220.02
1766,9457.01
1767,10260.0
1768,9488.61
1769,10375.17
1770,9699.82
1771,10351.0
1772,9744.0
1773,10300.0
1774,9593.0
1775,9896.03
1776,10186.58
1777,10844.57
1778,10161.32
1779,10670.0
1780,10260.27
1781,10573.08
1782,10290.03
1783,10616.99
1784,10305.56
1785,10570.0
1786,10295.0
1787,10607.38
1788,10604.01
1789,10680.0
1790,10679.66
1791,10663.91
1792,10720.0
1793,10740.0
1794,10639.99
1795,10708.84
1796,10689.96
1797,10566.57
1798,10354.0
1799,10667.88
1800,10679.0
1801,10463.04
1802,10675.0
1803,10506.01
1804,10897.42
1805,10504.32
1806,10897.5
1807,10400.0
1808,10940.0
1809,10435.01
1810,10806.5
1811,10474.65
1812,10747.07
1813,10525.0
1814,10508.0
1815,10638.43
1816,10585.05
1817,10531.0
1818,10574.99
1819,10430.0
1820,10557.0
1821,10307.27
1822,10639.08
1823,10407.2
1824,10402.59
1825,10752.0
1826,10322.0
1827,10762.29
1828,10352.0
1829,10690.2
1830,10418.0
1831,10736.0
1832,10390.01
1833,10840.01
1834,10374.2
1835,10919.3
1836,10513.09
1837,10890.0
1838,10619.99
1839,11034.0
1840,10590.0
1841,10917.99
1842,10719.0
1843,10954.99
1844,10650.0
1845,10895.92
1846,10386.99
1847,10613.6
1848,11115.27
1849,10970.01
1850,11030.46
1851,10785.01
1852,11090.0
1853,10850.0
1854,10993.0
1855,10850.99
1856,10983.51
1857,10880.0
1858,11080.37
1859,10913.89
1860,11070.04
1861,10901.0
1862,11087.91
1863,11038.87
1864,10881.56
1865,11026.0
1866,10908.99
1867,11080.5
1868,10902.85
1869,11000.0
1870,11008.17
1871,11014.88
1872,11194.13
1873,11429.5
